ID,serial number,class,function,function first,function end,code,number,Taisho,koreana,folio code,author,Indian translator,Tibetan translator,calibration,Chinese translation,Sanskrit title,Title romanisation,Tibetan title,Dazheng holding,Barry holding,Nanjo,Other,PDF,WEB_PDF,WEB_HTML,Remarks
ID,流水號,部類,函號,函號首,函號尾,經碼,經號,Taisho,koreana,原葉碼,造者,印度譯師,西藏譯師,校定,中文意譯,梵文經題,羅馬化經題,藏文經題,大正藏,巴利藏,南條,其他,PDF,WEB_PDF,WEB_HTML,備註
1,2,律部,通帙第1Ka-4ṅa,1,4,1,1,,,1b1-302a5,,Sarvajñādeva、Vidyākaraprabha、Dharmākara,Dpal-gyi lhun-po,Vidyākaraprabha、Dpal-brtsegs,律本事,Vinaya-vastu,Ḥdul-ba gshi,འདུལ་བ་གཞི,"1444,1445,1446,1447,1448,1449,1450",,1123,,"KD0001I1,KD0001M2,KD0001M3,KD0001I4","KD0001I1,KD0001M2,KD0001M3,KD0001I4,KD0001N4","KD0001I1,KD0001M2,KD0001M3,KD0001I4,KD0001N4",
2,11,律部,通帙第5Ca,5,5,2,2,1454,898,1b1-20b7,,Jinamitra,Kluḥi rgyal-mtshan,,波羅提木叉經,Prātimokṣa-sūtra,So-sor-thar-baḥi mdo,སོ་སོར་ཐར་བའི་མདོ,1454,,1110,,KD0002M,KD0002M,KD0002M,
3,12,律部,通帙第5Ca-8ña,5,8,3,3,1442,891,21a1-269a6,,Jinamitra,Kluḥi rgyal-mtshan,,律分別,Vinaya-vibhaṅga,Ḥdul-ba rnam-par-ḥbyed-pa,འདུལ་བ་རྣམ་པར་འབྱེད་པ,1442,,1118,,,"KD0003I1,KD0003I2","KD0003I1,KD0003I2",
4,13,律部,通帙第9Ta,9,9,4,4,1455,897,1b1-25a7,,Jinamitra,Kluḥi rgyal-mtshan,,比丘尼波羅提木叉經,Bhikṣuṇīprātimokṣa-sūtra,Dge-sloṅ-maḥi so-sor thar-baḥi mdo,དགེ་སློང་མའི་སོ་སོར་ཐར་བའི་མདོ,1455,,1149,,,,,
5,14,律部,通帙第9Ta,9,9,5,5,1443,892,25b1-328a6,,Sarvajñādeva、Dharmākara,Vidyākaraprabha、Dpal-gyi lhun-po,Vidyākaraprabha、Dpal-brtsegs,比丘尼律分別,Bhikṣuṇī-vinaya-vibhaṅga,Dge-sloṅ-maḥi ḥdul-ba rnam-par-ḥbyed-pa,དགེ་སློང་མའི་འདུལ་བ་རྣམ་པར་འབྱེད་པ,1443,,1124,,,,,
6,15,律部,通帙第10Tha-11Da,10,11,6,6,1451,893,1b1-310a7,,Dharmaśrībhadra,Dpal-ḥbyor、Vidyākaraprabha,,律小事,Vinaya-kṣudraka-vastu,Ḥdul-ba phran-tshegs-kyi gshi,འདུལ་བ་ཕྲན་ཚེགས་ཀྱི་གཞི,1451,,1121,,,,,
7,16,律部,通帙第12,12,12,7,7,,,1b1-302a7,,,,,律上分,Vinaya-uttaragrantha,Ḥdul-ba gshuṅ bla-ma,འདུལ་བ་གཞུང་བླ་མ,,,,,,,,
8,17,般若部,通帙第14Ka-25A,14,25,8,8,0220-01,1,1b1-395a6,,,,,般若波羅蜜多十萬頌,Śatasāhasrikā-prajñāpāramitā,Śes-rab-kyi-pha-rol-tu-phyin-pa stoṅ-phrag-brgya-ba,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་བ,220(1),,1,,,,,
9,18,般若部,通帙第26Ka-28Ga,26,28,9,9,0220-02,1,1b1-381a5,,,,,般若波羅蜜多二萬五千頌,Pañcaviṃśatisāhasrikā-prajñāpāramitā,Śes-rab-kyi-pha-rol-tu-phyin-pa stoṅ-phrag-ñi-śu-lṅa-pa,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ,"220(2),222,223",,"1,2,3,4",,,"KL0009I1,KL0009I2","KL0009I1,KL0009I2",
10,22,般若部,通帙第29Ka-31Ga,29,31,10,10,0220-03,1,1b1-206a7,,,,,聖般若波羅蜜多一萬八千頌大乘經,Ārya-aṣṭādaśasāhasrikā-prajñāpāramitā-nāma-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa khri-brgyad-stoṅ-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཁྲི་བརྒྱད་སྟོང་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,220(3),,1,,,,,
