ལ་སོགས་པའི་སྐྱོན་བསལ་ལ། སྨན་ལྔ་དང་	c #་, p ནི་, d , n ནི་	རིན་པོ་ཆེ་ལྔ་དང་འབྲུ་ལྔ་བླུགས་ལ་དྲི་			automatic__spelling_mistake__nga_da					c p=n d 0.24%	c (1), དང(18517), རིན་པོ་ཆེ(119)p ནི(44237), དང་ནི(6235), ནི་རིན་པོ་ཆེ(218)d (1), དང(18517), རིན་པོ་ཆེ(119), དང་རིན་པོ་ཆེ(140)n ནི(44237), དང་ནི(6235), ནི་རིན་པོ་ཆེ(218)	29
གསུངས་པའི། །སྔོམ་པ་ལེགས་པར་གཟུང་བྱའོ། །	c , p ཆགས་ འགྱུར་ ལས །__ ཕྱོགས་ བཅུ་ ན་ བཞུགས་པ འི་ སངས་རྒྱས་ དང་ བྱང་ཆུབ་ སེམས་དཔའ་ ཐམས་ཅད་ བདག་ ལ་ དགོངས་ སུ་ གསོལ །__ བདག་ མིང་ འདི་ ཞེས་ བགྱི་བ །__ དུས་ འདི་ ནས་ བཟུང་ ནས་ ཇི་སྲིད་ བྱང་ཆུབ་ སྙིང་པོ་ ལ་ མཆིས་ ཀྱི་ བར་ དུ །__ ཇི་ལྟར་ དུས་ གསུམ་ མགོན་པོ་ རྣམས །__། བྱང་ཆུབ་ ཏུ་ ནི་ ངེས་ མཛད་པ འི །__། བྱང་ཆུབ་ སེམས་ ནི་ བླ་ མེད་པ ས །__། དམ་པ་ བདག་ གིས་ བསྐྱེད་པ ར་ བགྱི་ ཟེར །__།, d , n ཆགས་ འགྱུར་ ལས །__ ཕྱོགས་ བཅུ་ ན་ བཞུགས་པ འི་ སངས་རྒྱས་ དང་ བྱང་ཆུབ་ སེམས་དཔའ་ ཐམས་ཅད་ བདག་ ལ་ དགོངས་ སུ་ གསོལ །__ བདག་ མིང་ འདི་ ཞེས་ བགྱི་བ །__ དུས་ འདི་ ནས་ བཟུང་ ནས་ ཇི་སྲིད་ བྱང་ཆུབ་ སྙིང་པོ་ ལ་ མཆིས་ ཀྱི་ བར་ དུ །__ ཇི་ལྟར་ དུས་ གསུམ་ མགོན་པོ་ རྣམས །__། བྱང་ཆུབ་ ཏུ་ ནི་ ངེས་ མཛད་པ འི །__། བྱང་ཆུབ་ སེམས་ ནི་ བླ་ མེད་པ ས །__། དམ་པ་ བདག་ གིས་ བསྐྱེད་པ ར་ བགྱི་ ཟེར །__།	ཚུལ་ཁྲིམས་ཀྱི་ནི་བསླབ་པ་དང་། །དགེ་བའི་			automatic__spelling_mistake__non_word__ill_formed					c=d p=n 90.59%	c (1), །_།(997103), ཚུལ་ཁྲིམས(12910), །_།ཚུལ་ཁྲིམས(1834), །_།ཚུལ་ཁྲིམས་ཀྱི(720), བྱའོ།_།ཚུལ་ཁྲིམས་ཀྱི(44)p d (1), །_།(997103), ཚུལ་ཁྲིམས(12910), །_།ཚུལ་ཁྲིམས(1834), །_།ཚུལ་ཁྲིམས་ཀྱི(720), བྱའོ།_།ཚུལ་ཁྲིམས་ཀྱི(44)n 	84
རོ། །མེ་ཏོག་གང་ལ་བབ་པ་དེ་ནི་	c དེ འི་ ལྷ འོ །_། མེ་ཏོག་ བབ་བ འི་ མཚན་མ་, p , d དེ འི་ ལྷ འོ །_། མེ་ཏོག་ བབ་བ འི་ མཚན་མ་, n 	ལྷའི་རེའུ་ཆའི་གནས་ལས་ཤེས་བར་བྱའོ། །དེ་			automatic__spelling_mistake__non_word__ill_formed					c=d p=n 90.59%	c p (1), ནི(44237)d n (1), ནི(44237)	213
གྱིས། །སྲིད་པ་ཤིན་ཏུ་དག་པའི་ཕྱིར། །	c སྲིད་པ འི་ སྡུག་བསྔལ་ ལས་ ཁྱོད་ འདས །_། སྲིད་པ་ ཤིན་ཏུ་ དག་པ ས་ ན, p སྲིད, d སྲིད་པ འི་ སྡུག་བསྔལ་ ལས་ ཁྱོད་ འདས །_། སྲིད་པ་ ཤིན་ཏུ་ དག་པ ས་ ན, n སྲིད	སྟོན་པའི་མཆོག་ཏུ་གྱུར་པ་ཡིན། །སྲིད་དང་			automatic__spelling_mistake__non_word__ill_formed					c=d p=n 90.59%	c p སྲིད(188), སྲིད།_།(136), །_།སྲིད(1824)d n སྲིད(188), སྲིད།_།(136), །_།སྲིད(1824)	325
པའོ། །ཧོམ་གཟར་དང་དགང་གཟར་དང་སྲེག་རྫས་	c རྫས་ དང་ མཆོད་ ཡོན་, p རྫས །__ མཆོད་ གཡོགས་, d རྫས་ དང་ མཆོད་ ཡོན་, n རྫས །__ མཆོད་ གཡོགས་	ལ་སོགས་པ་དང་། །སྔགས་པའི་རྒྱན་ལ་			automatic__spelling_mistake__non_word__ill_formed					c=d p=n 90.59%	c p d n 	351
ཏེ། ཨོཾ་ཨིནྡྲཱ་ཡ་སྭཱ་ཧཱ། ཨོཾ་ཡ་མཱ་	c #ཡ་, p #ཡེ་, d #ཡ་, n #ཡེ་	སྭཱ་ཧཱ། ཨོཾ་བ་རུ་ཎཱ་ཡ་སྭཱ་ཧཱ། 			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c ཡ(7515), མཱ་ཡ(55), ཡ་སྭཱ(1145)p ཡེ(585), ཡེ་སྭཱ(388)d ཡ(7515), མཱ་ཡ(55), ཡ་སྭཱ(1145)n ཡེ(585), ཡེ་སྭཱ(388)	14
། ཨོཾ་སཱུརྱཱ་ཡ་སྭཱ་ཧཱ། ཨོཾ་ཙནྡྲ་དི་ཏ་	c #ཡ་, p #པྱ་, d #ཡ་, n #པྱ་	སྭཱ་ཧཱ། ཨོཾ་[པྲྀ]་ཐི་བྱེ་སྭཱ་ཧཱ། ཞེས་པས་གཏོར་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c ཡ(7515), ཏ་ཡ(81), ཡ་སྭཱ(1145)p པྱ(7)d ཡ(7515), ཏ་ཡ(81), ཡ་སྭཱ(1145)n པྱ(7)	21
པོ་ཆེ་ལྔ་དང་འབྲུ་ལྔ་བླུགས་ལ་དྲི་ཞིམ་	c ཞིང་ སྣུམ་པ འི་, p ཞིམ་ #བསྣུམ་པ འི་, d ཞིང་ སྣུམ་པ འི་, n ཞིམ་ #བསྣུམ་པ འི་	པའི་སས་བཀང་ལ་གྲུ་བཞི་ལྷམ་པར་ས་གཞི་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c p d n 	30
དུ་འཛིན་པས་དབང་ལྡན་ཕྱོགས་ནས་བརྩམས་ཏེ། 	c སྟང་, p #སྟངས་, d སྟང་, n #སྟངས་	སྟབས་ཀྱིས་གཡས་སྐོར་དུ་དཀྱིལ་འཁོར་གྱིས་ལ་ལན་གསུམ་བསྐོར་བར་བྱའོ། །ཚིགས་སུ་བཅད་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c སྟང(1091), སྟང་སྟབས(58)p སྟངས(5)d སྟང(1091), སྟང་སྟབས(58)n སྟངས(5)	43
ཏུ་འབར་བ་ཡིས། །མགོ་ནི་ཚལ་པ་བརྒྱར་	c #གཤེག་, p གཤོག་, d #གཤེག་, n གཤོག་	ཅིང་། །ཞིག་པར་འགྱུར་བ་གདོན་མི་ཟ། །			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c གཤེག(1)p གཤོག(2)d གཤེག(1)n གཤོག(2)	45
། ཞེས་བཟླས་ལ་ཆུ་ཁྱོར་བ་གསུམ་འཐུང་དུ་	c གཞུག་, p #བཞུག་, d གཞུག་, n #བཞུག་	གོ། །འཇིག་རྟེན་དུ་ནི་ཀུན་མཁྱེན་རྣམས། །			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c གཞུག(392), གཞུག་གོ(120), དུ་གཞུག(176), དུ་གཞུག་གོ(73), དུ་གཞུག་གོ།_།(202)p བཞུག(2)d གཞུག(392), གཞུག་གོ(120), དུ་གཞུག(176), དུ་གཞུག་གོ(73), དུ་གཞུག་གོ།_།(202)n བཞུག(2)	103
