	c #དི་, p #དྷི་, d #དི་, n #དྷི་	ར་བ་ན་ཏཱ་རཱ་སཱ་དྷ་ནཾ། བོད་				automatic__sskrt				c=d p=n 72.73%	c དི(31)p དྷི(115)d དི(31)n དྷི(115)	1
གར་སྐད་དུ། ཁ་དི་ར་བ་ན་ཏཱ་	c #རཱ་, p ར་, d #རཱ་, n ར་	སཱ་དྷ་ནཾ། བོད་སྐད་དུ། སེང་ལྡེང་				automatic__sskrt				c=d p=n 72.73%	c རཱ(178), ཏཱ་རཱ(55)p ར(2609), ཏཱ་ར(80)d རཱ(178), ཏཱ་རཱ(55)n ར(2609), ཏཱ་ར(80)	2
འདུག་སྟེ། རང་གི་སྙིང་གར་ཟླ་བ་ལ་	c #ཏཱཾ་ #ཡིག་ #དཱུར་བ འི་, p #ཏཾ་ #ཡིག་ དུར་བ འི་, d #ཏཱཾ་ #ཡིག་ #དཱུར་བ འི་, n #ཏཾ་ #ཡིག་ དུར་བ འི་	བའི་མདོག་ལྟ་བུར་འོད་ཟེར་རྣམ་པ་ལྔ་འཕྲོ་				automatic__sskrt				c=d p=n 72.73%	c p d n 	5
ལ་བསྡུའོ། །དེ་ནས་ཡང་རང་གི་སྙིང་གའི་	c #ཏཱཾ་, p #ཏཾ་, d #ཏཱཾ་, n #ཏཾ་	ལས་འོད་སྤྲོས་པས། འོག་མིན་གྱི་གནས་ནས་				automatic__sskrt				c=d p=n 72.73%	c ཏཱཾ(18)p ཏཾ(88)d ཏཱཾ(18)n ཏཾ(88)	6
འདི་ལན་གསུམ་བརྗོད་པར་བྱ་སྟེ། ཨོཾ་སྭ་	c #བྷཱ་ #ཝ་ #ཤུདྡྷཿསརྦ་ #དྷརྨཱཿསྭ་, p #བྷ་ #ཝ་ #ཤུདྡྷཿསརྦ་ #དྷརྨཱ་ #སྭ་, d #བྷཱ་ #ཝ་ #ཤུདྡྷཿསརྦ་ #དྷརྨཱཿསྭ་, n #བྷ་ #ཝ་ #ཤུདྡྷཿསརྦ་ #དྷརྨཱ་ #སྭ་	ཝ་ཤུདྡྷཿསརྦ་དྷརྨཱཿསྭ་བྷཱ་ཝ་ཤུདྡྷོ྅ཧཾ། ཨོཾ་				automatic__sskrt				c=d p=n 72.73%	c p d n 	10
བརྗོད་པར་བྱ་སྟེ། ཨོཾ་སྭ་བྷཱ་ཝ་ཤུདྡྷཿསརྦ་	c #དྷརྨཱཿསྭ་ #བྷཱ་ #ཝ་ #ཤུདྡྷོ྅ཧཾ, p #དྷརྨསྭ་ #བྷཱ་ #ཝ་ #ཤུདྡྷོཧཾ, d #དྷརྨཱཿསྭ་ #བྷཱ་ #ཝ་ #ཤུདྡྷོ྅ཧཾ, n #དྷརྨསྭ་ #བྷཱ་ #ཝ་ #ཤུདྡྷོཧཾ	སྭ་བྷཱ་ཝ་ཤུདྡྷོ྅ཧཾ། ཨོཾ་ཤཱུ་ནྱ་ཏཱ་				automatic__sskrt				c=d p=n 72.73%	c p d n 	11
བྱ་སྟེ། ཨོཾ་སྭ་བྷཱ་ཝ་ཤུདྡྷཿསརྦ་དྷརྨཱཿསྭ་	c #བྷཱ་, p #བྷ་, d #བྷཱ་, n #བྷ་	ཝ་ཤུདྡྷོ྅ཧཾ། ཨོཾ་ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་				automatic__sskrt				c=d p=n 72.73%	c བྷཱ(1)p བྷ(79)d བྷཱ(1)n བྷ(79)	12
། ཨོཾ་སྭ་བྷཱ་ཝ་ཤུདྡྷཿསརྦ་དྷརྨཱཿསྭ་བྷཱ་ཝ་	c #ཤུདྡྷོ྅ཧཾ, p #ཤུདྡྷོཧཾ, d #ཤུདྡྷོ྅ཧཾ, n #ཤུདྡྷོཧཾ	ཧཾ། ཨོཾ་ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭ་				automatic__sskrt				c=d p=n 72.73%	c ཤུདྡྷོ྅ཧཾ(1)p d ཤུདྡྷོ྅ཧཾ(1)n 	13
ཧཾ། ཨོཾ་ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭ་	c #བྷཱ་, p #བྷ་, d #བྷཱ་, n #བྷ་	ཝ་ཨཱཏྨ་ཀོ྅ཧཾ། ཞེས་བརྗོད་པས་བདག་དང་				automatic__sskrt				c=d p=n 72.73%	c བྷཱ(1), སྭ་བྷཱ(47)p བྷ(79)d བྷཱ(1), སྭ་བྷཱ(47)n བྷ(79)	14
ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭ་བྷཱ་ཝ་ཨཱཏྨ་	c #ཀོ྅ཧཾ, p #ཀོཧཾ, d #ཀོ྅ཧཾ, n #ཀོཧཾ	ཧཾ། ཞེས་བརྗོད་པས་བདག་དང་གཞན་གྱི་དངོས་				automatic__sskrt				c=d p=n 72.73%	c ཀོ྅ཧཾ(5)p d ཀོ྅ཧཾ(5)n 	15
སྨོན་ལམ་རྗེས་སུ་དྲན་པས་ནམ་མཁའི་ཁམས་སུ་	c #པཾ་, p #པཾ་, d #པཾ་, n #པི་	ཡོངས་སུ་གྱུར་པ་ལ་སྣ་ཚོགས་པདྨའི་ལྟ[ལྟེ]་བར་				automatic__sskrt				c=p=d n 21.21%	c པཾ(36)p པཾ(36)d པཾ(36)n པི(11)	16
བར་ཨོཾ་ལས་ཟླ་བའི་དཀྱིལ་འཁོར་གྱི་སྟེང་དུ་	c #དཱུར་བ འི་, p དུར་བ འི་, d #དཱུར་བ འི་, n དུར་བ འི་	བའི་མདོག་ལྟ་བུའི་ཏཱཾ་ཡིག་འོད་ཟེར་སྣ་ཚོགས་				automatic__sskrt				c=d p=n 72.73%	c p d n 	18
དཀྱིལ་འཁོར་གྱི་སྟེང་དུ་དཱུར་བའི་མདོག་ལྟ་བུའི་	c #ཏཱཾ་, p #ཏཾ་, d #ཏཱཾ་, n #ཏཾ་	ཡིག་འོད་ཟེར་སྣ་ཚོགས་པ་ཅན་བསྒོམས་ལ། 				automatic__sskrt				c=d p=n 72.73%	c ཏཱཾ(18)p ཏཾ(88)d ཏཱཾ(18)n ཏཾ(88)	19
